"","protein_id","length","cysteine_content","accession_hit","sequence_identity","alignment_length","evalue","bit_score","accession_hit_description","Ref_L","Ratio","Ref_length","Plot","nb_hits","Outlier"
"1","Mulenga_Aam-218597",74,0.0810810810810811,"P0CF77",0.711,34,1.887e-08,51,"Tddefensin",36,2.05555555555556,36,"Plot 1",5,"Yes"
"2","JAA69751.1",73,0.0821917808219178,"P0CF77",0.537,35,0.0003186,39,"Tddefensin",36,2.02777777777778,36,"Plot 1",5,"Yes"
"3","MXU83021.1",73,0.0821917808219178,"P0CF77",0.537,35,0.0003186,39,"Tddefensin",36,2.02777777777778,36,"Plot 1",5,"Yes"
"4","JAA65352.1",73,0.0958904109589041,"P0CF77",0.528,35,0.0007189,38,"Tddefensin",36,2.02777777777778,36,"Plot 1",5,"Yes"
"5","KAH7936683.1",639,0.0187793427230047,"P0CV91",0.771,32,3.74e-09,53,"Peroxiredoxin-4 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 4)",36,17.75,36,"Plot 1",211,"Yes"
"6","MAA21641.1",365,0.0191780821917808,"P0CV91",0.566,38,5.486e-06,44,"Peroxiredoxin-4 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 4)",36,10.1388888888889,36,"Plot 1",211,"Yes"
"7","JAP82666.1",379,0.0184696569920844,"P0CV91",0.566,38,5.486e-06,44,"Peroxiredoxin-4 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 4)",36,10.5277777777778,36,"Plot 1",211,"Yes"
"8","MAA21640.1",379,0.0184696569920844,"P0CV91",0.566,38,5.486e-06,44,"Peroxiredoxin-4 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 4)",36,10.5277777777778,36,"Plot 1",211,"Yes"
"9","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01065826.1.p1",512,0.04296875,"P0C8M2",0.602,40,5.285e-08,50,"Serine proteinase-like BMK-CBP",40,12.8,40,"Plot 1",20,"Yes"
"10","Trove_AA_58888",607,0.0313014827018122,"C0HLA4",0.629,36,2.671e-07,48,"Snaclec LmrLEC-1",40,15.175,40,"Plot 1",9,"Yes"
"11","KAH7982103.1",404,0.0371287128712871,"C0HLA4",0.596,36,3.042e-06,45,"Snaclec LmrLEC-1",40,10.1,40,"Plot 1",9,"Yes"
"12","Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01042806.1.p1",255,0.0274509803921569,"B3EWP2",1,43,1.137e-23,95,"Hyaluronidase CdtHya1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor)",44,5.79545454545455,44,"Plot 1",10,"Yes"
"13","KAH6946051.1",730,0.1,"P86468",0.719,30,1.77e-06,46,"Toxin Bcs III 15.09",45,16.2222222222222,45,"Plot 1",21,"Yes"
"14","KAH7941377.1",890,0.107865168539326,"P86468",0.625,35,1.77e-06,46,"Toxin Bcs III 15.09",45,19.7777777777778,45,"Plot 1",21,"Yes"
"15","KAH6926007.1",1002,0.102794411177645,"P86468",0.625,35,1.77e-06,46,"Toxin Bcs III 15.09",45,22.2666666666667,45,"Plot 1",21,"Yes"
"16","KAH7960134.1",432,0.125,"P86468",0.693,31,1.77e-06,46,"Toxin Bcs III 15.09",45,9.6,45,"Plot 1",21,"Yes"
"17","KAH7956471.1",874,0.0251716247139588,"P0DKM9",0.554,45,3.078e-08,51,"Turripeptide OL11-like",45,19.4222222222222,45,"Plot 1",36,"Yes"
"18","Micrurus_tener_GDBH01_id_lcl|GDBH01000001.1_prot_JAS05232.1_1",82,0.109756097560976,"P0CAR2",0.791,45,5.851e-17,76,"Short neurotoxin D2A",47,1.74468085106383,47,"Plot 1",5,"Yes"
"19","Micrurus_tener_GDBH01_id_lcl|GDBH01000003.1_prot_JAS05230.1_1",82,0.109756097560976,"P0CAR2",0.791,45,5.851e-17,76,"Short neurotoxin D2A",47,1.74468085106383,47,"Plot 1",5,"Yes"
"20","Micrurus_fulvius_GAEP01_id_lcl|GAEP01001969.1_prot_JAB52852.1_1",82,0.109756097560976,"P0CAR2",0.784,45,1.31e-16,75,"Short neurotoxin D2A",47,1.74468085106383,47,"Plot 1",5,"Yes"
"21","Micrurus_fulvius_GAEP01_id_lcl|GAEP01001970.1_prot_JAB52851.1_1",82,0.109756097560976,"P0CAR2",0.784,45,1.31e-16,75,"Short neurotoxin D2A",47,1.74468085106383,47,"Plot 1",5,"Yes"
"22","Micrurus_tener_GDBH01_id_lcl|GDBH01000002.1_prot_JAS05231.1_1",82,0.0975609756097561,"P0CAR2",0.776,44,1.47e-15,72,"Short neurotoxin D2A",47,1.74468085106383,47,"Plot 1",5,"Yes"
"23","Pteromalus_puparum_GECT01.transdecoder.pep_id_GECT01024803.1.p1",458,0.0611353711790393,"P0DV04",0.629,55,5.247e-15,71,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,8.17857142857143,56,"Plot 2",178,"Yes"
"24","KAH6929445.1",601,0.0249584026622296,"P0DV04",0.668,53,1.046e-15,73,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,10.7321428571429,56,"Plot 2",178,"Yes"
"25","Glycera_tridactyla_GART01.transdecoder.pep_id_GART01002143.1.p1",246,0.0934959349593496,"P0DV04",0.706,53,1.862e-17,78,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,4.39285714285714,56,"Plot 2",178,"Yes"
"26","Dispholidus_typus_GHOQ01.transdecoder.pep_id_GHOQ01000363.1.p1",394,0.0380710659898477,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,7.03571428571429,56,"Plot 2",178,"Yes"
"27","Bothrops_jararaca_GFJM01.transdecoder.pep_id_GFJM01019814.1.p1",421,0.0380047505938242,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,7.51785714285714,56,"Plot 2",178,"Yes"
"28","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01056051.1.p1",573,0.031413612565445,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,10.2321428571429,56,"Plot 2",178,"Yes"
"29","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01072144.1.p1",630,0.0301587301587302,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,11.25,56,"Plot 2",178,"Yes"
"30","Bungarus_multicinctus_GIKH01.transdecoder.pep_id_GIKH01018067.1.p1",675,0.0266666666666667,"P0DV04",0.666,52,2.343e-15,72,"PI-stichotoxin-Hcr2n (PI-SHTX-Hcr2n) (Kunitz-type serine protease inhibitor HCGS1.19)",56,12.0535714285714,56,"Plot 2",178,"Yes"
